"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C5,C6,C7","6","0.1 uF","","","","","~"
"C2","1","4700 pF","","","","","~"
"J1","1","~","","","","","~"
"R1,R2","2","60","","","","","~"
"R3","1","300","","","","","~"
"R4","1","10k","","","","","~"
"U1","1","MCP2515-xSO","","","","Package_DIP:DIP-18_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"U2,U3,U4","3","ULN2003A","","","","","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
"U5,U6,U7","3","74HC595","","","","","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"UC1","1","PIC16F1619-xP","","","","Package_DIP:DIP-20_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001770D.pdf"
"Vreg1","1","LM2940xT","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2940-n.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1748878933216&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Flm2940-n"
"XCVR1","1","MCP2561-E-P","","","","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf"
